**Date,**Amount,Payee,Description,Reference,ChequeNumber
2026-01-21,-401.90,"FACEBK *JKCTGAZL52 Wilmington, DE","FACEBK *JKCTGAZL52 Wilmington, DE",,
2026-01-21,-42.87,ALDI STORES DARLINGHURST 44.89 AUD @ .955001,ALDI STORES DARLINGHURST 44.89 AUD @ .955001,,
2026-01-21,-86.90,"FUNKATELLO DARLINGHURST, NSW 91.00 AUD @ .954945","FUNKATELLO DARLINGHURST, NSW 91.00 AUD @ .954945",,
2026-01-20,-132.66,"COSTCO WHOLESALE W552 VANCOUVER, BC","COSTCO WHOLESALE W552 VANCOUVER, BC",,
2026-01-20,-2.00,"IMPARK00011888U VANCOUVER, BC","IMPARK00011888U VANCOUVER, BC",,
2026-01-20,-76.27,"COSTCO WHOLESALE W552 VANCOUVER, BC","COSTCO WHOLESALE W552 VANCOUVER, BC",,
2026-01-20,-38.26,"WHITE SPOT #671 RICHMOND, BC","WHITE SPOT #671 RICHMOND, BC",,
2026-01-20,-38.24,TFNSW TRANSPORT SHOP HAYMARKET 40.00 AUD @ .956000,TFNSW TRANSPORT SHOP HAYMARKET 40.00 AUD @ .956000,,
2026-01-20,-49.35,ALDI STORES DARLINGHURST 51.63 AUD @ .955839,ALDI STORES DARLINGHURST 51.63 AUD @ .955839,,
2026-01-19,-392.55,"FACEBK *8S6WX99L52 Wilmington, DE","FACEBK *8S6WX99L52 Wilmington, DE",,
2026-01-19,-156.80,"BAM*SERVCOMM COMMUNICA SURREY, BC","BAM*SERVCOMM COMMUNICA SURREY, BC",,
2026-01-16,-62.38,SYDNEY MART PL SYDNEY 65.26 AUD @ .955868,SYDNEY MART PL SYDNEY 65.26 AUD @ .955868,,
2026-01-15,-99.13,"ZUSHI SURRY HILLS Surry Hills, NSW 103.89 AUD @ .954182","ZUSHI SURRY HILLS Surry Hills, NSW 103.89 AUD @ .954182",,
2026-01-15,-441.34,"FACEBK *ZTRT4AHL52 Wilmington, DE","FACEBK *ZTRT4AHL52 Wilmington, DE",,
2026-01-14,-62.53,"SHOPPERS DRUG MART #02 VANCOUVER, BC","SHOPPERS DRUG MART #02 VANCOUVER, BC",,
2026-01-12,-138.69,"FACEBK *9Z6FG99L52 Wilmington, DE","FACEBK *9Z6FG99L52 Wilmington, DE",,
2026-01-12,-1293.39,"FACEBK *FF4CNGDL52 MENLO PARK, CA","FACEBK *FF4CNGDL52 MENLO PARK, CA",,
2026-01-09,10464.27,PRE-AUTHORIZED PAYMENT - THANK YOU,PRE-AUTHORIZED PAYMENT - THANK YOU,,
2026-01-05,-129.22,"LONDON DRUGS 88 VANCOUVER, BC","LONDON DRUGS 88 VANCOUVER, BC",,
2026-01-05,-1000.32,"FACEBK *4K962A5L52 Wilmington, DE","FACEBK *4K962A5L52 Wilmington, DE",,
2026-01-02,-13.22,"SHELL C01205 VANCOUVER, BC","SHELL C01205 VANCOUVER, BC",,
2026-01-02,-27.26,"WHITE SPOT #671 RICHMOND, BC","WHITE SPOT #671 RICHMOND, BC",,
2025-12-31,-29.00,OVERLIMIT FEE,OVERLIMIT FEE,,
2025-12-31,-420.43,"FACEBK *4JCCVFDL52 Wilmington, DE","FACEBK *4JCCVFDL52 Wilmington, DE",,
2025-12-31,-106.35,"COSTCO WHOLESALE W54 RICHMOND, BC","COSTCO WHOLESALE W54 RICHMOND, BC",,
2025-12-31,-152.89,"COSTCO WHOLESALE W54 RICHMOND, BC","COSTCO WHOLESALE W54 RICHMOND, BC",,
2025-12-31,-1836.00,"ANDERSEN LLP VANCOUVER, BC","ANDERSEN LLP VANCOUVER, BC",,
2025-12-31,-1285.20,"ANDERSEN LLP VANCOUVER, BC","ANDERSEN LLP VANCOUVER, BC",,
2025-12-31,-14.97,"SAVE ON FOODS 2246 VANCOUVER, BC","SAVE ON FOODS 2246 VANCOUVER, BC",,
2025-12-30,-17.91,"Dropbox HVN1GB1FCN4Q San Francisco, CA","Dropbox HVN1GB1FCN4Q San Francisco, CA",,
2025-12-30,-27.95,"WINDSOR MWINDSOR MEATS VANCOUVER, BC","WINDSOR MWINDSOR MEATS VANCOUVER, BC",,
2025-12-29,-440.53,"FACEBK *2L6X495M52 Wilmington, DE","FACEBK *2L6X495M52 Wilmington, DE",,
2025-12-29,-458.15,"FACEBK *SUBJJ8HL52 Wilmington, DE","FACEBK *SUBJJ8HL52 Wilmington, DE",,
2025-12-24,-29.00,"SQ *MON GARENNE BAKE S Vancouver, BC","SQ *MON GARENNE BAKE S Vancouver, BC",,
2025-12-24,-299.73,"COSTCO WHOLESALE W54 RICHMOND, BC","COSTCO WHOLESALE W54 RICHMOND, BC",,
2025-12-24,-1.64,"COSTCO WHOLESALE W54 RICHMOND, BC","COSTCO WHOLESALE W54 RICHMOND, BC",,
2025-12-24,134.84,"COSTCO WHOLESALE W54 RICHMOND, BC","COSTCO WHOLESALE W54 RICHMOND, BC",,
2025-12-24,-24.13,"CHOICES WEST 57TH # 90 VANCOUVER, BC","CHOICES WEST 57TH # 90 VANCOUVER, BC",,
2025-12-22,-401.64,"FACEBK *UEFB9FDL52 Wilmington, DE","FACEBK *UEFB9FDL52 Wilmington, DE",,
